Club,Vertical Distance,Horizontal Distance,Date
9 Iron,-2.8,3.0,2026-07-30
9 Iron,4.5,1.8,2026-07-30
9 Iron,-3.5,-2.5,2026-07-30
9 Iron,2.5,2.8,2026-07-30
9 Iron,4.0,-3.0,2026-08-03
9 Iron,-3.5,3.5,2026-08-03
9 Iron,5.0,2.0,2026-08-03
9 Iron,-4.2,-2.0,2026-08-03
9 Iron,3.0,3.2,2026-08-03
8 Iron,5.5,-4.0,2026-07-12
8 Iron,-4.5,5.0,2026-07-12
8 Iron,6.0,3.0,2026-07-12
8 Iron,-3.5,-4.5,2026-07-12
8 Iron,4.0,2.5,2026-07-12
8 Iron,5.0,-3.5,2026-07-15
8 Iron,-5.5,4.5,2026-07-15
8 Iron,3.5,-5.0,2026-07-15
8 Iron,-4.0,3.5,2026-07-15
8 Iron,6.5,1.5,2026-07-15
8 Iron,-2.5,-3.5,2026-07-20
8 Iron,4.5,5.5,2026-07-20
8 Iron,-5.0,2.5,2026-07-20
8 Iron,3.0,-4.5,2026-07-20
8 Iron,-3.5,4.0,2026-07-20
8 Iron,5.5,-2.0,2026-07-25
8 Iron,-4.0,4.5,2026-07-25
8 Iron,4.0,3.0,2026-07-25
8 Iron,-6.0,-2.5,2026-07-25
8 Iron,2.5,4.5,2026-07-25
8 Iron,5.0,-3.0,2026-07-30
8 Iron,-3.5,3.5,2026-07-30
8 Iron,5.5,2.5,2026-07-30
8 Iron,-4.5,-3.0,2026-07-30
8 Iron,3.0,3.5,2026-07-30
8 Iron,4.5,-2.5,2026-08-03
8 Iron,-3.0,4.0,2026-08-03
8 Iron,5.0,2.0,2026-08-03
8 Iron,-5.5,-2.0,2026-08-03
8 Iron,3.5,3.0,2026-08-03
7 Iron,7.0,-6.0,2026-07-12
7 Iron,-6.0,7.5,2026-07-12
7 Iron,9.0,4.0,2026-07-12
7 Iron,-7.5,-8.0,2026-07-12
7 Iron,5.0,3.5,2026-07-12
7 Iron,8.0,-5.0,2026-07-15
7 Iron,-6.5,6.5,2026-07-15
7 Iron,5.5,-7.5,2026-07-15
7 Iron,-4.5,5.5,2026-07-15
7 Iron,10.0,2.5,2026-07-15
7 Iron,-3.5,-5.5,2026-07-20
7 Iron,6.5,8.0,2026-07-20
7 Iron,-8.0,3.5,2026-07-20
7 Iron,5.5,-6.5,2026-07-20
7 Iron,-5.0,4.5,2026-07-20
7 Iron,7.5,-3.0,2026-07-25
7 Iron,-4.5,6.0,2026-07-25
7 Iron,6.0,4.5,2026-07-25
7 Iron,-9.0,-3.5,2026-07-25
7 Iron,3.5,5.5,2026-07-25
7 Iron,6.0,-4.0,2026-07-30
7 Iron,-5.0,5.0,2026-07-30
7 Iron,8.5,3.0,2026-07-30
7 Iron,-3.5,-6.0,2026-07-30
7 Iron,4.5,2.5,2026-07-30
7 Iron,7.0,-5.5,2026-08-03
7 Iron,-5.5,6.0,2026-08-03
7 Iron,8.0,3.5,2026-08-03
7 Iron,-6.5,-4.5,2026-08-03
7 Iron,4.0,4.0,2026-08-03
6 Iron,3.0,-2.0,2026-07-12
6 Iron,-2.5,2.5,2026-07-12
6 Iron,2.0,1.5,2026-07-12
6 Iron,-1.5,-2.0,2026-07-12
6 Iron,1.0,1.0,2026-07-12
6 Iron,2.5,-1.5,2026-07-15
6 Iron,-2.0,2.0,2026-07-15
6 Iron,1.5,-1.0,2026-07-15
6 Iron,-1.0,1.5,2026-07-15
6 Iron,3.0,0.5,2026-07-15
6 Iron,-1.5,-1.5,2026-07-20
6 Iron,2.0,2.5,2026-07-20
6 Iron,-2.5,1.0,2026-07-20
6 Iron,1.5,-2.0,2026-07-20
6 Iron,-1.0,1.5,2026-07-20
6 Iron,2.5,-1.0,2026-07-25
6 Iron,-1.5,2.0,2026-07-25
6 Iron,1.0,1.5,2026-07-25
6 Iron,-2.0,-1.0,2026-07-25
6 Iron,1.5,2.0,2026-07-25
6 Iron,-1.0,1.0,2026-07-30
6 Iron,2.0,-1.5,2026-07-30
6 Iron,1.5,1.0,2026-07-30
6 Iron,-2.5,0.5,2026-07-30
6 Iron,1.0,-1.0,2026-07-30
6 Iron,2.0,1.5,2026-08-03
6 Iron,-1.5,-1.0,2026-08-03
6 Iron,1.0,2.0,2026-08-03
6 Iron,-2.0,1.0,2026-08-03
6 Iron,1.5,0.5,2026-08-03
5 Iron,3.5,-2.5,2026-07-12
5 Iron,-2.0,3.0,2026-07-12
5 Iron,2.5,2.0,2026-07-12
5 Iron,-3.0,-2.0,2026-07-12
5 Iron,1.5,2.5,2026-07-12
5 Iron,3.0,-2.0,2026-07-15
5 Iron,-2.5,2.5,2026-07-15
5 Iron,2.0,-1.5,2026-07-15
5 Iron,-1.5,2.0,2026-07-15
5 Iron,3.5,1.0,2026-07-15
5 Iron,-2.0,-2.5,2026-07-20
5 Iron,2.5,3.0,2026-07-20
5 Iron,-3.0,1.5,2026-07-20
5 Iron,2.0,-2.5,2026-07-20
5 Iron,-1.5,2.0,2026-07-20
5 Iron,3.0,-1.5,2026-07-25
5 Iron,-2.0,2.5,2026-07-25
5 Iron,2.5,1.5,2026-07-25
5 Iron,-2.5,-1.5,2026-07-25
5 Iron,1.5,2.5,2026-07-25
5 Iron,-1.5,1.5,2026-07-30
5 Iron,2.0,-2.0,2026-07-30
5 Iron,2.5,1.0,2026-07-30
5 Iron,-3.0,1.5,2026-07-30
5 Iron,1.0,-1.5,2026-07-30
5 Iron,2.5,2.0,2026-08-03
5 Iron,-2.0,-1.5,2026-08-03
5 Iron,1.5,2.5,2026-08-03
5 Iron,-2.5,1.0,2026-08-03
5 Iron,2.0,1.5,2026-08-03
3 Wood,4.0,-3.0,2026-07-12
3 Wood,-3.0,3.5,2026-07-12
3 Wood,3.0,2.5,2026-07-12
3 Wood,-2.5,-2.5,2026-07-12
3 Wood,2.0,2.0,2026-07-12
3 Wood,3.5,-2.5,2026-07-15
3 Wood,-2.5,3.0,2026-07-15
3 Wood,2.5,-2.0,2026-07-15
3 Wood,-2.0,2.5,2026-07-15
3 Wood,4.0,1.5,2026-07-15
3 Wood,-2.0,-2.0,2026-07-20
3 Wood,3.0,3.0,2026-07-20
3 Wood,-3.5,2.0,2026-07-20
3 Wood,2.5,-2.5,2026-07-20
3 Wood,-1.5,2.0,2026-07-20
3 Wood,3.0,-2.0,2026-07-25
3 Wood,-2.0,2.5,2026-07-25
3 Wood,2.0,2.0,2026-07-25
3 Wood,-3.0,-1.5,2026-07-25
3 Wood,1.5,2.5,2026-07-25
3 Wood,-2.0,2.0,2026-07-30
3 Wood,2.5,-1.5,2026-07-30
3 Wood,3.0,1.5,2026-07-30
3 Wood,-2.5,1.0,2026-07-30
3 Wood,2.0,-2.0,2026-07-30
3 Wood,3.0,2.0,2026-08-03
3 Wood,-2.0,-1.5,2026-08-03
3 Wood,2.5,2.5,2026-08-03
3 Wood,-3.0,1.5,2026-08-03
3 Wood,1.5,1.0,2026-08-03
Driver,5.0,-3.5,2026-07-12
Driver,-3.0,4.0,2026-07-12
Driver,4.0,2.5,2026-07-12
Driver,-4.0,-3.0,2026-07-12
Driver,2.5,2.0,2026-07-12
Driver,4.5,-3.0,2026-07-15
Driver,-3.5,3.5,2026-07-15
Driver,3.0,-2.5,2026-07-15
Driver,-2.5,3.0,2026-07-15
Driver,5.0,1.5,2026-07-15
Driver,-2.0,-2.5,2026-07-20
Driver,3.5,3.5,2026-07-20
Driver,-4.0,2.0,2026-07-20
Driver,3.0,-3.0,2026-07-20
Driver,-2.5,2.5,2026-07-20
Driver,4.0,-2.0,2026-07-25
Driver,-3.0,3.0,2026-07-25
Driver,3.5,2.0,2026-07-25
Driver,-3.5,-2.0,2026-07-25
Driver,2.0,3.0,2026-07-25
Driver,-2.0,2.5,2026-07-30
Driver,3.0,-2.0,2026-07-30
Driver,4.0,1.5,2026-07-30
Driver,-3.0,1.0,2026-07-30
Driver,2.5,-2.0,2026-07-30
Driver,3.5,2.0,2026-08-03
Driver,-2.5,-1.5,2026-08-03
Driver,3.0,2.5,2026-08-03
Driver,-3.5,1.5,2026-08-03
Driver,2.0,1.5,2026-08-03
